Latitude,Longitude,Feature_ID,Village,nitrogen_N_2023-24,phosphorus_P_2023-24,potassium_K_2023-24,organic_carbon_OC_2023-24,pH_2023-24,EC_2023-24,sulphur_S_2023-24,zinc_Zn_2023-24,iron_Fe_2023-24,copper_Cu_2023-24,manganese_Mn_2023-24,boron_B_2023-24,nitrogen_N_2024-25,phosphorus_P_2024-25,potassium_K_2024-25,organic_carbon_OC_2024-25,pH_2024-25,EC_2024-25,sulphur_S_2024-25,zinc_Zn_2024-25,iron_Fe_2024-25,copper_Cu_2024-25,manganese_Mn_2024-25,boron_B_2024-25,nitrogen_N_2025-26,phosphorus_P_2025-26,potassium_K_2025-26,organic_carbon_OC_2025-26,pH_2025-26,EC_2025-26,sulphur_S_2025-26,zinc_Zn_2025-26,iron_Fe_2025-26,copper_Cu_2025-26,manganese_Mn_2025-26,boron_B_2025-26
14.155000,79.595000,28_515_shc_2025-26.2010,Sanayapalem,,,,,,,,,,,,,,,,,,,,,,,,,63.0,13.8,86.9,0.2,7.8,0.1,21.01,0.6,7.11,0.09,1.97,0.38
14.155000,79.595000,28_515_shc_2025-26.2055,Jorepalle,,,,,,,,,,,,,,,,,,,,,,,,,75.0,10.0,99.3,0.31,6.98,0.1,136.59,0.58,2.18,0.08,2.15,0.25
14.155000,79.595000,28_515_shc_2025-26.2284,Jorepalle,,,,,,,,,,,,,,,,,,,,,,,,,151.0,18.4,136.6,0.46,6.45,0.1,143.59,0.55,4.11,0.25,2.15,0.53
14.155000,79.595000,28_515_shc_2025-26.4324,Thatipalle,,,,,,,,,,,,,,,,,,,,,,,,,50.0,6.9,111.7,0.11,5.84,0.14,21.01,0.17,4.98,0.08,9.28,0.09
14.155000,79.595000,28_515_shc_2025-26.7077,Sanayapalem,,,,,,,,,,,,,,,,,,,,,,,,,113.0,4.6,173.8,0.19,7.74,0.1,143.59,0.22,1.35,0.15,0.46,0.38
14.155000,79.595000,28_515_shc_2025-26.9320,Sanayapalem,,,,,,,,,,,,,,,,,,,,,,,,,25.0,20.0,266.9,0.2,7.73,0.04,42.03,0.19,6.6,0.38,3.22,0.09
14.155000,79.595000,28_515_shc_2025-26.9407,Thatipalle,,,,,,,,,,,,,,,,,,,,,,,,,151.0,10.8,149.0,0.11,6.7,0.1,21.01,0.33,8.17,0.01,2.15,0.28
14.155000,79.595000,28_515_shc_2025-26.9435,Thatipalle,,,,,,,,,,,,,,,,,,,,,,,,,63.0,3.1,198.6,0.25,8.01,0.1,28.02,0.38,3.15,0.02,1.33,0.13
14.155000,79.595000,28_515_shc_2025-26.10261,Thatipalle,,,,,,,,,,,,,,,,,,,,,,,,,251.0,21.5,161.4,0.11,8.04,0.1,122.58,0.18,1.77,0.28,3.15,0.22
14.155000,79.735000,28_515_shc_2024-25.17963,Ananthamadugu,,,,,,,,,,,,,213.0,25.0,58.1,0.47,8.28,0.1,17.6,0.34,8.36,0.56,5.14,0.28,,,,,,,,,,,,
14.152000,79.738000,28_515_shc_2025-26.8321,Ananthamadugu,,,,,,,,,,,,,,,,,,,,,,,,,63.0,38.4,304.2,0.1,8.4,0.17,45.53,0.45,4.97,0.22,2.18,0.38
14.162000,79.742000,28_515_shc_2025-26.2164,Molakalapundla,,,,,,,,,,,,,,,,,,,,,,,,,151.0,2.3,322.8,0.35,8.87,0.37,185.62,0.24,3.88,0.2,3.87,0.66
14.168000,79.908000,28_515_shc_2024-25.1105,Venkanapalem,,,,,,,,,,,,,88.0,164.0,239.0,0.4,8.2,0.25,170.0,0.42,9.16,0.14,9.14,0.53,,,,,,,,,,,,
14.168000,79.908000,28_515_shc_2024-25.9083,Venkanapalem,,,,,,,,,,,,,163.0,164.0,303.0,0.52,7.86,0.1,50.0,0.64,3.21,9.34,1.21,0.31,,,,,,,,,,,,
14.175000,79.745000,28_515_shc_2023-24.6315,Molakalapundla,75.0,20.0,221.0,0.35,8.3,0.3,66.0,0.11,2.7,0.16,5.2,0.38,,,,,,,,,,,,,,,,,,,,,,,,
14.175000,79.745000,28_515_shc_2023-24.6950,Molakalapundla,163.0,128.0,143.0,0.36,8.1,0.3,26.0,0.06,4.6,0.42,11.73,0.11,,,,,,,,,,,,,,,,,,,,,,,,
14.178000,79.742000,28_515_shc_2025-26.1833,Ananthamadugu,,,,,,,,,,,,,,,,,,,,,,,,,25.0,16.8,36.6,0.18,8.27,0.35,21.01,0.17,3.86,0.3,1.86,0.13
14.178000,79.742000,28_515_shc_2025-26.7029,Ananthamadugu,,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.1,105.5,0.1,8.32,0.39,66.54,0.24,2.19,0.14,1.97,6.19
14.172000,79.752000,28_515_shc_2023-24.5467,Molakalapundla,188.0,14.0,52.0,0.56,8.4,0.5,17.0,0.37,8.56,0.73,10.5,0.19,,,,,,,,,,,,,,,,,,,,,,,,
14.175000,79.795000,28_515_shc_2024-25.11690,Ramasagaram,,,,,,,,,,,,,100.0,73.0,58.1,0.59,8.49,0.12,10.5,0.18,5.61,0.16,5.18,0.38,,,,,,,,,,,,
14.175000,79.795000,28_515_shc_2024-25.11819,Ramasagaram,,,,,,,,,,,,,176.0,164.0,19.4,0.31,8.27,0.1,17.6,0.41,9.16,0.18,7.34,0.54,,,,,,,,,,,,
14.175000,79.795000,28_515_shc_2025-26.5262,Ramasagaram,188.0,14.0,182.0,0.62,7.6,1.0,35.0,0.04,10.6,0.56,6.4,0.19,,,,,,,,,,,,,151.0,50.69,192.4,0.24,8.62,0.2,28.02,0.19,3.86,0.38,2.15,0.57
14.172000,79.918000,28_515_shc_2024-25.4984,Baddevolu,,,,,,,,,,,,,75.0,70.0,316.0,0.86,8.1,0.5,84.0,0.55,2.81,0.49,39.24,2.37,50.0,3.1,484.0,0.32,7.08,0.5,80.55,0.24,3.24,0.57,2.91,0.03
14.172000,79.918000,28_515_shc_2024-25.5087,Baddevolu,,,,,,,,,,,,,151.0,37.0,181.0,1.61,8.13,0.46,61.0,0.46,6.88,0.36,20.18,0.25,,,,,,,,,,,,
14.172000,79.918000,28_515_shc_2024-25.5113,Baddevolu,,,,,,,,,,,,,138.0,17.0,265.0,0.98,8.19,0.51,47.0,0.58,7.24,0.12,16.81,0.72,63.0,12.3,472.0,0.44,8.05,1.09,154.1,0.41,4.95,0.5,1.29,0.03
14.172000,79.918000,28_515_shc_2024-25.5572,Baddevolu,176.0,14.0,617.0,0.87,7.6,0.72,142.0,4.0,8.17,1.6,19.0,0.31,251.0,43.0,420.0,0.99,8.18,0.55,84.0,0.28,10.38,0.16,12.18,1.32,,,,,,,,,,,,
14.172000,79.912000,28_515_shc_2024-25.1195,Baddevolu,,,,,,,,,,,,,113.0,138.0,213.0,1.2,8.15,0.62,9.0,0.14,8.36,0.24,20.18,1.19,,,,,,,,,,,,
14.172000,79.912000,28_515_shc_2024-25.1199,Baddevolu,,,,,,,,,,,,,125.0,109.0,265.0,0.93,8.14,0.29,69.0,0.42,8.14,0.14,18.16,0.59,,,,,,,,,,,,
14.172000,79.912000,28_515_shc_2024-25.1200,Baddevolu,,,,,,,,,,,,,88.0,80.0,123.0,0.48,8.26,0.11,61.0,0.52,6.36,0.21,7.84,0.82,,,,,,,,,,,,
14.172000,79.912000,28_515_shc_2024-25.1201,Baddevolu,,,,,,,,,,,,,113.0,11.0,32.0,1.62,8.38,0.1,40.0,0.58,9.14,0.38,16.88,0.66,,,,,,,,,,,,
14.172000,79.912000,28_515_shc_2024-25.1202,Baddevolu,,,,,,,,,,,,,100.0,25.0,123.0,0.61,7.69,0.39,84.0,0.55,7.36,0.49,24.94,0.56,,,,,,,,,,,,
14.172000,79.912000,28_515_shc_2024-25.4649,Baddevolu,,,,,,,,,,,,,75.0,33.0,181.0,1.18,7.86,0.69,2.0,0.45,14.13,0.61,24.78,1.35,,,,,,,,,,,,
14.172000,79.912000,28_515_shc_2024-25.9552,Baddevolu,,,,,,,,,,,,,88.0,109.0,116.0,1.28,8.13,0.27,118.0,0.16,6.38,0.14,23.18,1.16,,,,,,,,,,,,
14.172000,79.912000,28_515_shc_2024-25.9558,Baddevolu,,,,,,,,,,,,,176.0,62.0,181.0,1.31,8.17,0.57,5.0,0.26,10.47,0.19,22.8,3.15,,,,,,,,,,,,
14.172000,79.912000,28_515_shc_2024-25.9567,Baddevolu,,,,,,,,,,,,,88.0,11.0,200.0,1.06,8.33,0.11,2.0,0.21,10.18,0.28,16.8,0.59,,,,,,,,,,,,
14.172000,79.912000,28_515_shc_2024-25.9588,Baddevolu,,,,,,,,,,,,,75.0,35.0,123.0,0.48,8.41,0.11,11.0,0.26,8.36,0.21,21.8,0.5,,,,,,,,,,,,
14.172000,79.912000,28_515_shc_2024-25.9682,Baddevolu,,,,,,,,,,,,,100.0,25.0,181.0,0.56,8.25,0.17,58.0,0.24,9.34,0.38,18.17,0.56,,,,,,,,,,,,
14.172000,79.912000,28_515_shc_2024-25.12345,Baddevolu,,,,,,,,,,,,,88.0,52.0,245.0,0.47,8.07,0.27,40.0,0.18,9.14,0.21,7.38,0.5,,,,,,,,,,,,
14.172000,79.912000,28_515_shc_2024-25.12398,Baddevolu,,,,,,,,,,,,,138.0,35.0,181.0,0.61,8.18,0.11,112.0,0.21,12.77,0.4,29.58,1.29,,,,,,,,,,,,
14.172000,79.912000,28_515_shc_2024-25.12583,Baddevolu,,,,,,,,,,,,,113.0,70.0,123.0,0.52,8.04,0.17,69.0,0.14,7.14,0.14,16.14,0.59,,,,,,,,,,,,
14.172000,79.912000,28_515_shc_2024-25.12584,Baddevolu,,,,,,,,,,,,,125.0,35.0,129.0,0.15,7.97,0.23,40.0,0.26,10.16,0.26,16.38,0.82,,,,,,,,,,,,
14.172000,79.912000,28_515_shc_2024-25.12662,Baddevolu,,,,,,,,,,,,,88.0,43.0,181.0,0.24,8.11,0.38,121.0,0.32,16.34,0.14,21.68,0.53,,,,,,,,,,,,
14.172000,79.912000,28_515_shc_2024-25.12698,Baddevolu,,,,,,,,,,,,,100.0,35.0,168.0,0.74,7.81,0.27,69.0,0.26,10.4,0.38,9.36,0.56,,,,,,,,,,,,
14.172000,79.912000,28_515_shc_2024-25.12726,Baddevolu,,,,,,,,,,,,,100.0,52.0,142.0,0.3,8.07,0.16,40.0,0.01,9.94,0.52,39.18,2.2,,,,,,,,,,,,
14.172000,79.912000,28_515_shc_2024-25.12763,Baddevolu,,,,,,,,,,,,,138.0,1.0,181.0,0.65,7.67,0.29,33.0,0.21,7.38,0.21,19.24,0.78,,,,,,,,,,,,
14.172000,79.912000,28_515_shc_2024-25.20690,Baddevolu,,,,,,,,,,,,,113.0,25.0,226.0,0.12,7.28,0.1,100.0,0.62,18.31,0.48,10.48,0.47,,,,,,,,,,,,
14.175000,79.955000,28_515_shc_2023-24.5507,Venkanapalem,163.0,34.0,117.0,0.45,7.6,3.7,42.0,0.33,17.3,1.19,6.41,0.57,,,,,,,,,,,,,,,,,,,,,,,,
14.182000,79.552000,28_515_shc_2023-24.6455,Bandepalle,100.0,23.0,189.0,1.17,7.3,0.6,26.0,0.25,4.21,0.18,3.28,0.11,,,,,,,,,,,,,,,,,,,,,,,,
14.185000,79.775000,28_515_shc_2025-26.1748,Ramasagaram,,,,,,,,,,,,,,,,,,,,,,,,,50.0,110.6,285.5,0.29,8.45,0.33,28.02,0.38,1.97,0.41,1.31,0.44
14.185000,79.775000,28_515_shc_2025-26.5219,Ramasagaram,,,,,,,,,,,,,,,,,,,,,,,,,38.0,50.69,335.2,0.31,8.28,0.38,28.02,0.17,0.74,0.13,1.77,0.57
14.198000,79.552000,28_515_shc_2024-25.20680,Bojjanapalle,,,,,,,,,,,,,88.0,1.0,258.0,1.37,7.38,0.15,88.0,0.38,21.26,0.51,3.84,0.97,,,,,,,,,,,,
14.198000,79.558000,28_515_shc_2024-25.5223,Rapur,,,,,,,,,,,,,113.0,1.0,90.0,0.83,8.01,0.15,18.0,0.52,18.31,0.64,0.28,0.31,,,,,,,,,,,,
14.198000,79.632000,28_515_shc_2024-25.3787,Kommipadu,,,,,,,,,,,,,176.0,164.0,71.0,0.39,7.97,0.17,10.5,0.18,6.14,0.36,4.84,0.69,,,,,,,,,,,,
14.192000,79.772000,28_515_shc_2025-26.1548,Ramasagaram,,,,,,,,,,,,,,,,,,,,,,,,,176.0,98.3,68.3,0.34,8.7,0.12,28.02,0.13,1.66,0.32,1.72,0.53
14.192000,79.788000,28_515_shc_2025-26.1861,Ramasagaram,,,,,,,,,,,,,,,,,,,,,,,,,63.0,93.7,198.6,0.09,8.52,0.19,28.02,0.19,4.35,0.26,1.38,0.38
14.192000,79.788000,28_515_shc_2025-26.1863,Ramasagaram,,,,,,,,,,,,,,,,,,,,,,,,,13.0,61.4,378.6,0.2,8.7,0.22,42.03,0.52,3.86,0.13,1.06,0.25
14.192000,79.788000,28_515_shc_2025-26.7064,Ramasagaram,,,,,,,,,,,,,,,,,,,,,,,,,100.0,52.22,217.3,0.27,8.61,0.6,28.02,0.49,5.05,0.28,1.53,0.19
14.192000,79.788000,28_515_shc_2025-26.7140,Ramasagaram,63.0,66.0,293.0,0.48,6.1,1.0,19.0,1.18,12.1,1.34,9.14,0.11,,,,,,,,,,,,,151.0,56.06,248.3,0.11,8.68,0.3,42.03,0.25,6.01,0.19,1.65,0.25
14.198000,79.888000,28_515_shc_2023-24.6664,Pidur,289.0,87.0,169.0,1.0,8.0,1.3,35.0,0.04,14.5,1.24,4.29,0.23,,,,,,,,,,,,,,,,,,,,,,,,
14.202000,79.532000,28_515_shc_2023-24.5515,Rapur,100.0,110.0,650.0,0.33,9.0,0.3,28.0,0.31,2.6,1.37,9.5,0.12,,,,,,,,,,,,,,,,,,,,,,,,
14.208000,79.672000,28_515_shc_2023-24.5495,Tocham,151.0,109.0,260.0,0.8,8.5,0.2,54.0,0.15,2.82,0.72,7.3,0.56,,,,,,,,,,,,,,,,,,,,,,,,
14.205000,79.675000,28_515_shc_2023-24.6695,Ramasagaram,163.0,109.0,306.0,0.69,8.4,0.2,54.0,0.02,3.26,0.47,10.48,0.1,,,,,,,,,,,,,,,,,,,,,,,,
14.205000,79.675000,28_515_shc_2024-25.3911,Chaganam,,,,,,,,,,,,,75.0,157.0,25.9,0.63,8.22,0.1,3.5,0.28,4.38,0.36,9.14,0.22,,,,,,,,,,,,
14.202000,79.682000,28_515_shc_2023-24.5035,Chaganam,38.0,17.0,182.0,0.31,7.9,0.9,144.0,0.26,5.9,0.13,5.2,0.27,,,,,,,,,,,,,,,,,,,,,,,,
14.202000,79.872000,28_515_shc_2024-25.941,Manubolu,,,,,,,,,,,,,100.0,16.4,187.3,0.29,8.65,0.5,10.5,0.13,8.19,0.39,6.71,0.44,,,,,,,,,,,,
14.202000,79.872000,28_515_shc_2024-25.959,Manubolu,,,,,,,,,,,,,113.0,14.2,193.7,0.76,7.87,0.13,1.8,0.41,5.31,0.32,7.28,0.47,,,,,,,,,,,,
14.202000,79.872000,28_515_shc_2024-25.964,Manubolu,,,,,,,,,,,,,188.0,163.8,71.0,0.51,8.15,0.14,1.8,0.28,1.38,0.34,9.14,0.41,,,,,,,,,,,,
14.202000,79.872000,28_515_shc_2024-25.5516,Manubolu,,,,,,,,,,,,,201.0,3.3,148.5,0.38,8.16,0.14,10.5,0.24,4.26,0.12,8.18,0.28,,,,,,,,,,,,
14.202000,79.872000,28_515_shc_2024-25.5535,Manubolu,,,,,,,,,,,,,75.0,18.6,96.9,0.64,8.46,0.78,17.6,0.48,1.46,0.26,8.38,0.54,,,,,,,,,,,,
14.202000,79.872000,28_515_shc_2024-25.5578,Manubolu,,,,,,,,,,,,,176.0,10.9,96.9,0.54,7.98,0.15,33.4,0.28,6.18,0.41,6.14,0.19,,,,,,,,,,,,
14.202000,79.872000,28_515_shc_2024-25.5587,Manubolu,,,,,,,,,,,,,213.0,12.0,180.8,0.49,8.15,0.13,14.1,0.38,5.21,0.46,6.48,0.54,,,,,,,,,,,,
14.202000,79.872000,28_515_shc_2024-25.5589,Manubolu,,,,,,,,,,,,,163.0,3.3,174.3,0.55,8.12,0.17,21.1,0.26,3.28,0.18,7.21,0.25,,,,,,,,,,,,
14.202000,79.872000,28_515_shc_2024-25.5625,Manubolu,,,,,,,,,,,,,163.0,3.3,155.0,0.8,7.97,0.1,29.9,0.36,3.28,0.38,7.28,0.54,,,,,,,,,,,,
14.202000,79.872000,28_515_shc_2024-25.5762,Manubolu,,,,,,,,,,,,,151.0,16.4,122.7,0.32,8.1,0.15,36.9,0.52,1.35,0.71,12.48,0.44,,,,,,,,,,,,
14.202000,79.872000,28_515_shc_2024-25.5773,Manubolu,,,,,,,,,,,,,88.0,10.9,142.1,0.91,8.18,0.18,51.0,0.68,4.36,0.26,9.14,0.16,,,,,,,,,,,,
14.202000,79.872000,28_515_shc_2024-25.8443,Manubolu,,,,,,,,,,,,,238.0,3.3,167.9,0.48,8.2,0.18,8.8,0.48,4.26,0.42,10.36,0.16,,,,,,,,,,,,
14.202000,79.872000,28_515_shc_2024-25.8448,Manubolu,,,,,,,,,,,,,163.0,5.5,238.9,0.77,8.23,0.13,1.8,0.21,2.38,0.18,7.21,0.44,151.0,11.5,161.4,0.13,7.1,0.01,21.01,0.19,3.19,0.2,2.15,0.44
14.202000,79.872000,28_515_shc_2024-25.8507,Manubolu,,,,,,,,,,,,,176.0,14.2,90.4,0.45,8.06,0.15,10.5,0.53,1.01,0.59,8.42,0.25,,,,,,,,,,,,
14.202000,79.872000,28_515_shc_2024-25.21122,Manubolu,,,,,,,,,,,,,213.0,73.2,187.3,0.52,8.29,0.15,10.5,0.65,1.83,0.44,9.62,0.44,,,,,,,,,,,,
14.202000,79.872000,28_515_shc_2024-25.21124,Manubolu,,,,,,,,,,,,,125.0,31.7,264.7,0.23,8.03,0.11,17.6,0.18,0.82,0.31,15.48,0.5,,,,,,,,,,,,
14.212000,79.502000,28_515_shc_2025-26.1741,Pangili,,,,,,,,,,,,,,,,,,,,,,,,,163.0,12.3,86.9,0.45,8.3,0.18,94.56,0.24,2.18,0.26,1.76,0.88
14.212000,79.502000,28_515_shc_2025-26.1742,Pangili,,,,,,,,,,,,,,,,,,,,,,,,,201.0,8.4,111.7,0.25,8.27,0.28,80.55,0.18,3.17,0.18,1.38,0.66
14.212000,79.502000,28_515_shc_2025-26.1743,Pangili,,,,,,,,,,,,,201.0,127.8,574.7,0.7,8.36,0.15,21.1,0.27,2.96,0.05,1.42,0.72,100.0,10.0,384.9,0.33,8.15,0.24,52.53,0.34,2.4,0.07,0.44,0.69
14.212000,79.502000,28_515_shc_2025-26.5229,Pangili,,,,,,,,,,,,,,,,,,,,,,,,,151.0,13.8,173.8,0.13,8.11,0.17,94.56,0.17,5.97,0.16,1.02,0.57
14.212000,79.502000,28_515_shc_2025-26.5243,Pangili,,,,,,,,,,,,,,,,,,,,,,,,,88.0,14.6,173.8,0.35,8.32,0.3,115.58,0.3,12.1,0.15,1.2,0.38
14.212000,79.528000,28_515_shc_2025-26.10925,Rapur,,,,,,,,,,,,,,,,,,,,,,,,,138.0,13.1,335.2,0.63,7.65,0.35,101.57,0.54,7.12,0.15,1.33,0.25
14.212000,79.528000,28_515_shc_2025-26.10926,Rapur,,,,,,,,,,,,,,,,,,,,,,,,,226.0,20.7,378.6,0.44,7.64,0.37,66.54,0.03,4.14,0.06,0.47,0.09
14.212000,79.562000,28_515_shc_2023-24.5798,Rapur,138.0,34.0,78.0,0.5,7.7,0.4,97.0,0.54,3.26,0.18,5.76,0.27,,,,,,,,,,,,,,,,,,,,,,,,
14.218000,79.898000,28_515_shc_2024-25.21420,Manubolu,,,,,,,,,,,,,125.0,1.0,181.0,0.27,6.85,0.1,33.0,0.256,8.19,0.49,3.67,0.12,,,,,,,,,,,,
14.212000,79.982000,28_515_shc_2024-25.21715,Pudiparthi,,,,,,,,,,,,,88.0,25.0,142.1,0.72,7.35,4.79,33.4,0.51,8.14,0.36,8.14,0.35,,,,,,,,,,,,
14.212000,79.982000,28_515_shc_2024-25.21724,Pudiparthi,,,,,,,,,,,,,113.0,35.0,122.7,0.38,7.45,4.31,17.6,0.63,5.38,0.58,4.23,0.28,,,,,,,,,,,,
14.222000,79.492000,28_515_shc_2025-26.4248,Pangili,,,,,,,,,,,,,,,,,,,,,,,,,38.0,14.6,117.9,0.45,8.2,0.29,45.53,0.28,2.4,0.23,0.3,0.72
14.222000,79.492000,28_515_shc_2025-26.4542,Pangili,,,,,,,,,,,,,,,,,,,,,,,,,63.0,16.9,80.7,0.11,8.17,0.3,52.53,0.31,3.18,0.17,3.15,0.38
14.228000,79.568000,28_515_shc_2025-26.2091,Bojjanapalle,,,,,,,,,,,,,,,,,,,,,,,,,201.0,7.7,620.7,0.15,8.23,0.1,35.02,0.16,6.17,0.11,1.37,0.13
14.228000,79.568000,28_515_shc_2025-26.9292,Veerayapalem,,,,,,,,,,,,,,,,,,,,,,,,,176.0,0.8,620.7,0.23,8.25,0.1,28.02,0.44,4.18,0.02,1.54,0.19
14.228000,79.568000,28_515_shc_2025-26.9298,Bojjanapalle,,,,,,,,,,,,,,,,,,,,,,,,,201.0,0.8,620.7,0.25,8.18,0.1,28.02,0.19,2.95,0.25,1.64,0.25
14.228000,79.568000,28_515_shc_2025-26.9339,Bojjanapalle,,,,,,,,,,,,,,,,,,,,,,,,,100.0,1.5,620.7,0.2,8.12,0.1,45.53,0.51,5.93,0.15,1.39,0.03
14.228000,79.572000,28_515_shc_2025-26.4814,Bojjanapalle,,,,,,,,,,,,,,,,,,,,,,,,,201.0,0.8,620.7,0.25,8.02,0.1,21.01,0.24,1.98,0.2,1.95,0.31
14.228000,79.572000,28_515_shc_2025-26.4816,Bojjanapalle,,,,,,,,,,,,,,,,,,,,,,,,,188.0,3.8,620.7,0.25,8.03,0.1,21.01,0.41,8.97,0.01,1.09,0.22
14.225000,79.595000,28_515_shc_2025-26.2126,Veerayapalem,,,,,,,,,,,,,,,,,,,,,,,,,75.0,5.4,403.5,0.43,8.02,0.1,108.57,0.09,1.68,0.01,1.04,0.06
14.222000,79.598000,28_515_shc_2025-26.2053,Veerayapalem,,,,,,,,,,,,,,,,,,,,,,,,,50.0,12.3,415.9,0.38,8.01,0.2,35.02,0.38,10.1,0.02,1.36,0.09
14.225000,79.685000,28_515_shc_2023-24.6945,Molakalapundla,113.0,33.0,189.0,0.52,8.4,0.2,57.0,0.22,5.08,0.17,2.19,0.8,,,,,,,,,,,,,,,,,,,,,,,,
